event_id,session_id,cow_id,layer,label,code,en,type,evidence,protocol,t_start_rel_ms,t_end_rel_ms,duration_ms,device_key,device_mac,video_name,adjudication,sensor_eligible
EVT-00053,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3049045.0,3182594.0,133549.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00054,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3234086.0,3343522.0,109436.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00055,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3369167.0,3468840.0,99673.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00056,2026-07-28 04_38_21,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3491923.0,3599868.0,107945.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00095.mp4,single_annotator,True
EVT-00057,2026-07-28 05_44_10,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,0.0,165632.0,165632.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00058,2026-07-28 05_44_10,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,196490.0,311126.0,114636.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00059,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,321546.0,328206.0,6660.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00060,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,430200.0,438540.0,8340.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00061,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,492993.0,505084.0,12091.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00062,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,633700.0,639741.0,6041.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00063,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1261466.0,1271056.0,9590.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00064,2026-07-28 05_44_10,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1291546.0,1368803.0,77257.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00065,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1372342.0,1380680.0,8338.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00066,2026-07-28 05_44_10,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,1408391.0,1686156.0,277765.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00067,2026-07-28 05_44_10,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,1729234.0,2042159.0,312925.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00068,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2046310.0,2062983.0,16673.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00069,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2088624.0,2106315.0,17691.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00070,2026-07-28 05_44_10,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2113868.0,2235599.0,121731.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00071,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2336757.0,2354269.0,17512.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00072,2026-07-28 05_44_10,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2366548.0,2374069.0,7521.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00073,2026-07-28 05_44_10,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2425191.0,2582337.0,157146.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00074,2026-07-28 05_44_10,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2700803.0,3599860.0,899057.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00101.mp4,single_annotator,True
EVT-00075,2026-07-28 06_50_04,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,0.0,760010.0,760010.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00076,2026-07-28 06_50_04,20201-3,body_state,躺卧,LYING,lying,interval,两者,v3,772768.0,1383199.0,610431.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00077,2026-07-28 06_50_04,20201-3,posture_transition,起立过程,STANDING_UP,standing up,interval,两者,v3,1389660.0,1406121.0,16461.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00078,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1413337.0,1479987.0,66650.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00079,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1560323.0,1570104.0,9781.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00080,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1587894.0,1774746.0,186852.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00081,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1805202.0,1812494.0,7292.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00082,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1850417.0,1943864.0,93447.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00083,2026-07-28 06_50_04,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2018034.0,2117674.0,99640.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00084,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2145361.0,2160711.0,15350.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00085,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2163547.0,2171051.0,7504.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00086,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2196524.0,2241364.0,44840.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00087,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2242449.0,2250789.0,8340.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00088,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2266064.0,2393104.0,127040.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00089,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2394564.0,2402700.0,8136.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00090,2026-07-28 06_50_04,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,2424979.0,2474771.0,49792.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00091,2026-07-28 06_50_04,20201-3,objective_event,排便,DEFECATION,defecation,interval,两者,v3,2525447.0,2545044.0,19597.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00092,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2545864.0,2559823.0,13959.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00093,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2673936.0,2766421.0,92485.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00094,2026-07-28 06_50_04,20201-3,tail_action,抬尾,TAIL_RAISED,tail raised,interval,两者,v3,2820234.0,2828763.0,8529.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00095,2026-07-28 06_50_04,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,2844062.0,3009394.0,165332.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00096,2026-07-28 06_50_04,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,3011474.0,3022933.0,11459.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00097,2026-07-28 06_50_04,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,3046053.0,3071545.0,25492.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00098,2026-07-28 06_50_04,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,3092090.0,3165635.0,73545.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00099,2026-07-28 06_50_04,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,3209028.0,3246182.0,37154.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00100,2026-07-28 06_50_04,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,3292308.0,3347634.0,55326.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00109.mp4,single_annotator,True
EVT-00101,2026-07-28 07_55_58,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,164853.0,192164.0,27311.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00102,2026-07-28 07_55_58,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1425406.0,1474609.0,49203.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00103,2026-07-28 07_55_58,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1635776.0,1773978.0,138202.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00104,2026-07-28 07_55_58,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1894345.0,1904765.0,10420.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00105,2026-07-28 07_55_58,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1919927.0,1960867.0,40940.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00106,2026-07-28 07_55_58,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,1975122.0,1983449.0,8327.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00107,2026-07-28 07_55_58,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2016721.0,2097063.0,80342.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00108,2026-07-28 07_55_58,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2132769.0,2266906.0,134137.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00109,2026-07-28 07_55_58,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2341001.0,2458735.0,117734.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00110,2026-07-28 07_55_58,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2903586.0,3040587.0,137001.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00111,2026-07-28 07_55_58,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,3089263.0,3137633.0,48370.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00112,2026-07-28 07_55_58,20201-3,objective_event,排尿,URINATION,urination,interval,两者,v3,3157588.0,3195529.0,37941.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00113,2026-07-28 07_55_58,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,3285028.0,3543534.0,258506.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00118.mp4,single_annotator,True
EVT-00114,2026-07-28 09_01_51,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,100551.0,132842.0,32291.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00115,2026-07-28 09_01_51,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,135184.0,450675.0,315491.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00116,2026-07-28 09_01_51,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,454856.0,479035.0,24179.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00117,2026-07-28 09_01_51,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,785664.0,906443.0,120779.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00118,2026-07-28 09_01_51,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,920598.0,1113245.0,192647.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00119,2026-07-28 09_01_51,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1159439.0,1179899.0,20460.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00120,2026-07-28 09_01_51,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1200369.0,1396348.0,195979.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00121,2026-07-28 09_01_51,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,1606567.0,1942205.0,335638.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00122,2026-07-28 09_01_51,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,2387616.0,2397836.0,10220.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00123,2026-07-28 09_01_51,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2443531.0,2560545.0,117014.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00124,2026-07-28 09_01_51,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2624325.0,2938227.0,313902.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00125,2026-07-28 09_01_51,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,2972622.0,3044080.0,71458.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00126,2026-07-28 09_01_51,20201-3,body_state,采食,FEEDING,feeding,interval,两者,v3,3120974.0,3474739.0,353765.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00127,2026-07-28 09_01_51,20201-3,body_state,行走,WALKING,walking,interval,两者,v3,3544564.0,3551006.0,6442.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00126.mp4,single_annotator,True
EVT-00128,2026-07-28 10_07_41,20201-3,body_state,站立,STANDING,standing,interval,两者,v3,28012.0,88931.0,60919.0,546C50CA01F1-20201-3,546C50CA01F1,hiv00134.mp4,single_annotator,True
